(const, SYM_CONST)
(a, SYM_IDENT)
(=, SYM_EQL)
(10, SYM_NUMBER)
(;, SYM_SEMICOLON)
(var, SYM_VAR)
(d, SYM_IDENT)
(,, SYM_COMMA)
(e, SYM_IDENT)
(,, SYM_COMMA)
(f, SYM_IDENT)
(;, SYM_SEMICOLON)
(procedure, SYM_PROC)
(p, SYM_IDENT)
(;, SYM_SEMICOLON)
(var, SYM_VAR)
(g, SYM_IDENT)
(;, SYM_SEMICOLON)
(begin, SYM_BEGIN)
(d, SYM_IDENT)
(:=, SYM_ASSIGN)
(a, SYM_IDENT)
(*, SYM_MUL)
(2, SYM_NUMBER)
(;, SYM_SEMICOLON)
(e, SYM_IDENT)
(:=, SYM_ASSIGN)
(a, SYM_IDENT)
(/, SYM_DIV)
(3, SYM_NUMBER)
(;, SYM_SEMICOLON)
(if, SYM_IF)
(d, SYM_IDENT)
(<=, SYM_LEQ)
(e, SYM_IDENT)
(then, SYM_THEN)
(f, SYM_IDENT)
(:=, SYM_ASSIGN)
(d, SYM_IDENT)
(+, SYM_PLUS)
(e, SYM_IDENT)
(end, SYM_END)
(;, SYM_SEMICOLON)
(begin, SYM_BEGIN)
(read, SYM_READ)
((, SYM_LPAREN)
(e, SYM_IDENT)
(,, SYM_COMMA)
(f, SYM_IDENT)
(), SYM_RPAREN)
(;, SYM_SEMICOLON)
(write, SYM_WRITE)
((, SYM_LPAREN)
(e, SYM_IDENT)
(,, SYM_COMMA)
(f, SYM_IDENT)
(,, SYM_COMMA)
(d, SYM_IDENT)
(), SYM_RPAREN)
(;, SYM_SEMICOLON)
(call, SYM_CALL)
(p, SYM_IDENT)
(;, SYM_SEMICOLON)
(while, SYM_WHILE)
(odd, SYM_ODD)
(d, SYM_IDENT)
(do, SYM_DO)
(e, SYM_IDENT)
(:=, SYM_ASSIGN)
(-, SYM_MINUS)
(e, SYM_IDENT)
(+, SYM_PLUS)
(1, SYM_NUMBER)
(end, SYM_END)
(., SYM_PERIOD)
