(const, SYM_CONST)
(max, SYM_IDENT)
(=, SYM_EQL)
(100, SYM_NUMBER)
(;, SYM_SEMICOLON)
(var, SYM_VAR)
(arg, SYM_IDENT)
(,, SYM_COMMA)
(ret, SYM_IDENT)
(;, SYM_SEMICOLON)
(procedure, SYM_PROC)
(isprime, SYM_IDENT)
(;, SYM_SEMICOLON)
(var, SYM_VAR)
(i, SYM_IDENT)
(;, SYM_SEMICOLON)
(var, SYM_VAR)
(j, SYM_IDENT)
(;, SYM_SEMICOLON)
(begin, SYM_BEGIN)
(ret, SYM_IDENT)
(:=, SYM_ASSIGN)
(1, SYM_NUMBER)
(;, SYM_SEMICOLON)
(i, SYM_IDENT)
(:=, SYM_ASSIGN)
(2, SYM_NUMBER)
(;, SYM_SEMICOLON)
(while, SYM_WHILE)
(i, SYM_IDENT)
(<, SYM_LSS)
(arg, SYM_IDENT)
(do, SYM_DO)
(begin, SYM_BEGIN)
(if, SYM_IF)
(arg, SYM_IDENT)
(/, SYM_DIV)
(i, SYM_IDENT)
(*, SYM_MUL)
(i, SYM_IDENT)
(=, SYM_EQL)
(arg, SYM_IDENT)
(then, SYM_THEN)
(begin, SYM_BEGIN)
(ret, SYM_IDENT)
(:=, SYM_ASSIGN)
(0, SYM_NUMBER)
(;, SYM_SEMICOLON)
(i, SYM_IDENT)
(:=, SYM_ASSIGN)
(arg, SYM_IDENT)
(end, SYM_END)
(;, SYM_SEMICOLON)
(i, SYM_IDENT)
(:=, SYM_ASSIGN)
(i, SYM_IDENT)
(+, SYM_PLUS)
(1, SYM_NUMBER)
(j, SYM_IDENT)
(:=, SYM_ASSIGN)
(i, SYM_IDENT)
(j, SYM_IDENT)
(+, SYM_PLUS)
(2, SYM_NUMBER)
(end, SYM_END)
(end, SYM_END)
(;, SYM_SEMICOLON)
(procedure, SYM_PROC)
(primes, SYM_IDENT)
(;, SYM_SEMICOLON)
(begin, SYM_BEGIN)
(arg, SYM_IDENT)
(:=, SYM_ASSIGN)
(2, SYM_NUMBER)
(;, SYM_SEMICOLON)
(while, SYM_WHILE)
(arg, SYM_IDENT)
(<=, SYM_LEQ)
(max, SYM_IDENT)
(do, SYM_DO)
(begin, SYM_BEGIN)
(call, SYM_CALL)
(isprime, SYM_IDENT)
(;, SYM_SEMICOLON)
(if, SYM_IF)
(ret, SYM_IDENT)
(=, SYM_EQL)
(1, SYM_NUMBER)
(then, SYM_THEN)
(begin, SYM_BEGIN)
(write, SYM_WRITE)
((, SYM_LPAREN)
(arg, SYM_IDENT)
(), SYM_RPAREN)
(;, SYM_SEMICOLON)
(end, SYM_END)
(arg, SYM_IDENT)
(:=, SYM_ASSIGN)
(arg, SYM_IDENT)
(+, SYM_PLUS)
(1, SYM_NUMBER)
(end, SYM_END)
(end, SYM_END)
(;, SYM_SEMICOLON)
(call, SYM_CALL)
(primes, SYM_IDENT)
(., SYM_PERIOD)
